"Planet #","Name","X","Y","Tech Level","Inhabitants","Government","Description"
229,"Xeaten"," (190","49)",6," Large Green Frogs"," Anarchy"," This planet is plagued by deadly earthquakes. "
230,"Inbior"," (167","178)",12," Human Colonials"," Corporate State"," This world is most fabled for Inbiorian evil juice but cursed by dreadful solar activity. "
231,"Inenares"," (140","153)",9," Human Colonials"," Democracy"," The planet Inenares is a boring planet. "
232,"Bianmadi"," (9","74)",7," Fierce Yellow Bony Humanoids"," Multi-Government"," The planet Bianmadi is reasonably fabled for mud hockey and the Bianmadiian edible moth. "
233,"Rareat"," (205","235)",7," Yellow Felines"," Dictatorship"," Rareat is a n unremarkable planet. "
234,"Beorle"," (148","49)",8," Furry Rodents"," Communist"," The world Beorle is a boring world. "
235,"Esqube"," (110","1)",11," Small Green Rodents"," Confederacy"," The world Esqube is a boring world. "
236,"Ceatrece"," (119","243)",9," Fierce Fat Humanoids"," Dictatorship"," The planet Ceatrece is a boring planet. "
237,"Ceorge"," (229","174)",5," Human Colonials"," Democracy"," This planet is most fabled for Ceorgeian Sous brandy but cursed by deadly civil war. "
238,"Rizace"," (162","67)",7," Yellow Bug-Eyed Lobsters"," Feudal"," Rizace is reasonably notable for its exotic cuisine but plagued by a lethal disease. "
239,"Bexe"," (233","69)",5," Blue Fat Insects"," Communist"," The planet Bexe is reasonably noted for its inhabitants' eccentric shyness and its inhabitants' eccentric shyness. "
240,"Orerle"," (22","0)",11," Harmless Insects"," Communist"," This world is a tedious little planet. "
241,"Onrequus"," (44","161)",5," Black Furry Rodents"," Feudal"," This world is a tedious little planet. "
242,"Atrare"," (72","58)",8," Human Colonials"," Democracy"," The planet Atrare is cursed by vicious mountain monkeys. "
243,"Latile"," (19","174)",6," Red Furry Felines"," Dictatorship"," The planet Latile is reasonably fabled for mud tennis and the Latileian mountain slug. "
244,"Sotidi"," (110","65)",11," Human Colonials"," Confederacy"," Sotidi is cursed by dreadful civil war. "
245,"Eresceon"," (107","109)",7," Human Colonials"," Communist"," This planet is reasonably famous for the Eresceonian spotted cat. "
246,"Reraxe"," (223","165)",7," Black Horned Birds"," Dictatorship"," The world Reraxe is reasonably fabled for Zero-G cricket and its exotic cuisine. "
247,"Tezabi"," (37","130)",7," Human Colonials"," Multi-Government"," This world is noted for its unusual sit coms. "
248,"Enonedar"," (103","70)",7," Human Colonials"," Democracy"," The world Enonedar is a boring world. "
249,"Gesolaon"," (10","56)",13," Human Colonials"," Corporate State"," Gesolaon is very notable for the Gesolaonian tree snake. "
250,"Anerma"," (159","85)",3," Red Horned Humanoids"," Anarchy"," This world is plagued by frequent solar activity. "
251,"Enlaonus"," (119","11)",8," Harmless Fat Felines"," Feudal"," Enlaonus is reasonably well known for the Enlaonusian tree grub but ravaged by occasional solar activity. "
252,"Ribiinat"," (72","95)",4," Human Colonials"," Corporate State"," Ribiinat is ravaged by dreadful civil war. "
253,"Zaxeed"," (17","172)",5," Fierce Yellow Furry Humanoids"," Multi-Government"," The planet Zaxeed is cursed by deadly civil war. "
254,"Anraer"," (160","88)",10," Slimy Lobsters"," Confederacy"," This planet is fabled for its fabulous vicious On brew and Anraerian wolf cutlet. "
255,"Cetiisqu"," (128","144)",5," Fierce Green Slimy Frogs"," Anarchy"," The world Cetiisqu is most well known for its vast oceans. "
